end4_path	classification	caelestia_path	adapter	schema_verified	runtime_refs	nexus_refs	note
hyprland.decoration.shadow.enabled	REWRITE	hyprland.decoration.shadow.enabled	enable-to-enabled	yes	4	4	
hyprland.decoration.shadow.range	REWRITE	hyprland.decoration.shadow.range	enable-to-enabled	yes	0	0	
hyprland.general.borderSize	REWRITE	hyprland.general.borderSize	enable-to-enabled	yes	4	4	
hyprland.general.gapsIn	REWRITE	hyprland.general.gapsIn	enable-to-enabled	yes	4	4	
hyprland.general.gapsOut	REWRITE	hyprland.general.gapsOut	enable-to-enabled	yes	4	4	
hyprland.general.layout	REWRITE	hyprland.general.layout	enable-to-enabled	yes	0	0	
hyprland.input.kbLayout	REWRITE	hyprland.input.kbLayout	enable-to-enabled	yes	0	0	
hyprland.input.numlock	REWRITE	hyprland.input.numlock	enable-to-enabled	yes	0	0	
hyprland.input.repeatDelay	REWRITE	hyprland.input.repeatDelay	enable-to-enabled	yes	0	0	
hyprland.input.repeatRate	REWRITE	hyprland.input.repeatRate	enable-to-enabled	yes	0	0	
hyprland.input.followMouse	REWRITE	hyprland.input.followMouse	enable-to-enabled	yes	0	0	
hyprland.input.touchpad.naturalScroll	REWRITE	hyprland.input.touchpad.naturalScroll	enable-to-enabled	yes	0	0	
hyprland.input.touchpad.disableWhileTyping	REWRITE	hyprland.input.touchpad.disableWhileTyping	enable-to-enabled	yes	0	0	
hyprland.input.touchpad.clickfingerBehavior	REWRITE	hyprland.input.touchpad.clickfingerBehavior	enable-to-enabled	yes	0	0	
hyprland.input.touchpad.scrollFactor	REWRITE	hyprland.input.touchpad.scrollFactor	enable-to-enabled	yes	0	0	
apps.bluetooth	DIRECT	general.apps.bluetooth	command-to-argv	yes	0	0	
apps.changePassword	DIRECT	general.apps.changePassword	command-to-argv	yes	0	0	
apps.network	DIRECT	general.apps.network	command-to-argv	yes	0	0	
apps.manageUser	DIRECT	general.apps.manageUser	command-to-argv	yes	0	0	
apps.networkEthernet	DIRECT	general.apps.networkEthernet	command-to-argv	yes	0	0	
apps.taskManager	DIRECT	general.apps.taskManager	command-to-argv	yes	0	0	
apps.terminal	DIRECT	general.apps.terminal	command-to-argv	yes	8	4	
apps.update	DIRECT	general.apps.update	command-to-argv	yes	0	0	
apps.volumeMixer	DIRECT	general.apps.audio	command-to-argv	yes	4	4	
background.widgetsLocked	SCHEMA_ONLY	background.widgetsLocked	identity	yes	0	0	
background.widgets.clock.enable	REWRITE	background.desktopClock.enabled	clock-adapter	yes	13	12	
background.widgets.clock.showOnlyWhenLocked	REWRITE	background.desktopClock.showOnlyWhenLocked	clock-adapter	yes	1	0	
background.widgets.clock.placementStrategy	REWRITE	background.desktopClock.placementStrategy	clock-adapter	yes	0	0	
background.widgets.clock.x	REWRITE	background.desktopClock.x	clock-adapter	yes	0	0	
background.widgets.clock.y	REWRITE	background.desktopClock.y	clock-adapter	yes	0	0	
background.widgets.clock.style	REWRITE	background.desktopClock.style	clock-adapter	yes	0	0	
background.widgets.clock.styleLocked	REWRITE	background.desktopClock.styleLocked	clock-adapter	yes	0	0	
background.widgets.clock.cookie.aiStyling	REWRITE	background.desktopClock.cookie.aiStyling	clock-adapter	yes	0	0	
background.widgets.clock.cookie.sides	REWRITE	background.desktopClock.cookie.sides	clock-adapter	yes	0	0	
background.widgets.clock.cookie.dialNumberStyle	REWRITE	background.desktopClock.cookie.dialNumberStyle	clock-adapter	yes	0	0	
background.widgets.clock.cookie.hourHandStyle	REWRITE	background.desktopClock.cookie.hourHandStyle	clock-adapter	yes	0	0	
background.widgets.clock.cookie.minuteHandStyle	REWRITE	background.desktopClock.cookie.minuteHandStyle	clock-adapter	yes	0	0	
background.widgets.clock.cookie.secondHandStyle	REWRITE	background.desktopClock.cookie.secondHandStyle	clock-adapter	yes	0	0	
background.widgets.clock.cookie.dateStyle	REWRITE	background.desktopClock.cookie.dateStyle	clock-adapter	yes	0	0	
background.widgets.clock.cookie.timeIndicators	REWRITE	background.desktopClock.cookie.timeIndicators	clock-adapter	yes	0	0	
background.widgets.clock.cookie.hourMarks	REWRITE	background.desktopClock.cookie.hourMarks	clock-adapter	yes	0	0	
background.widgets.clock.cookie.dateInClock	REWRITE	background.desktopClock.cookie.dateInClock	clock-adapter	yes	0	0	
background.widgets.clock.cookie.constantlyRotate	REWRITE	background.desktopClock.cookie.constantlyRotate	clock-adapter	yes	0	0	
background.widgets.clock.cookie.useSineCookie	REWRITE	background.desktopClock.cookie.useSineCookie	clock-adapter	yes	0	0	
background.widgets.clock.digital.adaptiveAlignment	REWRITE	background.desktopClock.digital.adaptiveAlignment	clock-adapter	yes	0	0	
background.widgets.clock.digital.showDate	REWRITE	background.desktopClock.digital.showDate	clock-adapter	yes	0	0	
background.widgets.clock.digital.animateChange	REWRITE	background.desktopClock.digital.animateChange	clock-adapter	yes	0	0	
background.widgets.clock.digital.vertical	REWRITE	background.desktopClock.digital.vertical	clock-adapter	yes	0	0	
background.widgets.clock.digital.font.family	REWRITE	background.desktopClock.digital.font.family	clock-adapter	yes	0	0	
background.widgets.clock.digital.font.weight	REWRITE	background.desktopClock.digital.font.weight	clock-adapter	yes	0	0	
background.widgets.clock.digital.font.width	REWRITE	background.desktopClock.digital.font.width	clock-adapter	yes	0	0	
background.widgets.clock.digital.font.size	REWRITE	background.desktopClock.digital.font.size	clock-adapter	yes	0	0	
background.widgets.clock.digital.font.roundness	REWRITE	background.desktopClock.digital.font.roundness	clock-adapter	yes	0	0	
background.widgets.clock.quote.enable	REWRITE	background.desktopClock.quote.enabled	clock-adapter	yes	0	0	
background.widgets.clock.quote.text	REWRITE	background.desktopClock.quote.text	clock-adapter	yes	0	0	
background.widgets.clock.quote.followClock	REWRITE	background.desktopClock.quote.followClock	clock-adapter	yes	0	0	
background.widgets.weather.enable	SCHEMA_ONLY	background.widgets.weather.enabled	enable-to-enabled	yes	0	0	
background.widgets.weather.placementStrategy	SCHEMA_ONLY	background.widgets.weather.placementStrategy	enable-to-enabled	yes	0	0	
background.widgets.weather.x	SCHEMA_ONLY	background.widgets.weather.x	enable-to-enabled	yes	0	0	
background.widgets.weather.y	SCHEMA_ONLY	background.widgets.weather.y	enable-to-enabled	yes	0	0	
background.widgets.weather.sizeMode	SCHEMA_ONLY	background.widgets.weather.sizeMode	enable-to-enabled	yes	0	0	
background.widgets.calendar.enable	SCHEMA_ONLY	background.widgets.calendar.enabled	enable-to-enabled	yes	0	0	
background.widgets.calendar.placementStrategy	SCHEMA_ONLY	background.widgets.calendar.placementStrategy	enable-to-enabled	yes	0	0	
background.widgets.calendar.x	SCHEMA_ONLY	background.widgets.calendar.x	enable-to-enabled	yes	0	0	
background.widgets.calendar.y	SCHEMA_ONLY	background.widgets.calendar.y	enable-to-enabled	yes	0	0	
background.widgets.calendar.sizeMode	SCHEMA_ONLY	background.widgets.calendar.sizeMode	enable-to-enabled	yes	0	0	
background.widgets.worldClock.enable	SCHEMA_ONLY	background.widgets.worldClock.enabled	enable-to-enabled	yes	0	0	
background.widgets.worldClock.timezones	SCHEMA_ONLY	background.widgets.worldClock.timezones	enable-to-enabled	yes	0	0	
background.widgets.worldClock.placementStrategy	SCHEMA_ONLY	background.widgets.worldClock.placementStrategy	enable-to-enabled	yes	0	0	
background.widgets.worldClock.x	SCHEMA_ONLY	background.widgets.worldClock.x	enable-to-enabled	yes	0	0	
background.widgets.worldClock.y	SCHEMA_ONLY	background.widgets.worldClock.y	enable-to-enabled	yes	0	0	
background.widgets.worldClock.sizeMode	SCHEMA_ONLY	background.widgets.worldClock.sizeMode	enable-to-enabled	yes	0	0	
background.widgets.userCard.enable	SCHEMA_ONLY	background.widgets.userCard.enabled	enable-to-enabled	yes	0	0	
background.widgets.userCard.placementStrategy	SCHEMA_ONLY	background.widgets.userCard.placementStrategy	enable-to-enabled	yes	0	0	
background.widgets.userCard.x	SCHEMA_ONLY	background.widgets.userCard.x	enable-to-enabled	yes	0	0	
background.widgets.userCard.y	SCHEMA_ONLY	background.widgets.userCard.y	enable-to-enabled	yes	0	0	
background.widgets.images.enable	SCHEMA_ONLY	background.widgets.images.enabled	enable-to-enabled	yes	0	0	
background.widgets.images.placementStrategy	SCHEMA_ONLY	background.widgets.images.placementStrategy	enable-to-enabled	yes	0	0	
background.widgets.images.x	SCHEMA_ONLY	background.widgets.images.x	enable-to-enabled	yes	0	0	
background.widgets.images.y	SCHEMA_ONLY	background.widgets.images.y	enable-to-enabled	yes	0	0	
background.widgets.visualizer.enable	REWRITE	background.visualiser.enabled	visualiser-adapter	yes	8	7	
background.widgets.visualizer.placementStrategy	REWRITE	background.visualiser.placementStrategy	visualiser-adapter	yes	0	0	
background.widgets.visualizer.x	REWRITE	background.visualiser.x	visualiser-adapter	yes	0	0	
background.widgets.visualizer.y	REWRITE	background.visualiser.y	visualiser-adapter	yes	0	0	
background.widgets.customImage.enable	SCHEMA_ONLY	background.widgets.customImage.enabled	enable-to-enabled	yes	0	0	
background.widgets.customImage.placementStrategy	SCHEMA_ONLY	background.widgets.customImage.placementStrategy	enable-to-enabled	yes	0	0	
background.widgets.customImage.x	SCHEMA_ONLY	background.widgets.customImage.x	enable-to-enabled	yes	0	0	
background.widgets.customImage.y	SCHEMA_ONLY	background.widgets.customImage.y	enable-to-enabled	yes	0	0	
background.widgets.customImage.path	SCHEMA_ONLY	background.widgets.customImage.path	enable-to-enabled	yes	0	0	
background.widgets.customImage.shape	SCHEMA_ONLY	background.widgets.customImage.shape	enable-to-enabled	yes	0	0	
background.widgets.customImage.size	SCHEMA_ONLY	background.widgets.customImage.size	enable-to-enabled	yes	0	0	
background.widgets.resources.enable	SCHEMA_ONLY	background.widgets.resources.enabled	enable-to-enabled	yes	0	0	
background.widgets.resources.placementStrategy	SCHEMA_ONLY	background.widgets.resources.placementStrategy	enable-to-enabled	yes	0	0	
background.widgets.resources.x	SCHEMA_ONLY	background.widgets.resources.x	enable-to-enabled	yes	0	0	
background.widgets.resources.y	SCHEMA_ONLY	background.widgets.resources.y	enable-to-enabled	yes	0	0	
background.widgets.resources.vertical	SCHEMA_ONLY	background.widgets.resources.vertical	enable-to-enabled	yes	0	0	
background.widgets.media.enable	SCHEMA_ONLY	background.widgets.media.enabled	enable-to-enabled	yes	0	0	
background.widgets.media.showControls	SCHEMA_ONLY	background.widgets.media.showControls	enable-to-enabled	yes	0	0	
background.widgets.media.showLyrics	SCHEMA_ONLY	background.widgets.media.showLyrics	enable-to-enabled	yes	0	0	
background.widgets.media.showTitles	SCHEMA_ONLY	background.widgets.media.showTitles	enable-to-enabled	yes	0	0	
background.widgets.media.backgroundShape	SCHEMA_ONLY	background.widgets.media.backgroundShape	enable-to-enabled	yes	0	0	
background.widgets.media.placementStrategy	SCHEMA_ONLY	background.widgets.media.placementStrategy	enable-to-enabled	yes	0	0	
background.widgets.media.x	SCHEMA_ONLY	background.widgets.media.x	enable-to-enabled	yes	0	0	
background.widgets.media.y	SCHEMA_ONLY	background.widgets.media.y	enable-to-enabled	yes	0	0	
background.screenList	REWRITE	background.screenList	identity	yes	3	3	
background.wallpaperPath	REWRITE	background.wallpaperPath	identity	yes	5	3	
background.centeredWallpaper	REWRITE	background.centeredWallpaper	identity	yes	23	19	
background.centeredWallpaperShape	REWRITE	background.centeredWallpaperShape	identity	yes	3	3	
background.centeredWallpaperSize	REWRITE	background.centeredWallpaperSize	identity	yes	4	3	
background.centeredWallpaperColor	REWRITE	background.centeredWallpaperColor	identity	yes	4	3	
background.centeredWallpaperOnlyWhenLocked	REWRITE	background.centeredWallpaperOnlyWhenLocked	identity	yes	4	3	
background.wallpaperAnimation	REWRITE	background.wallpaperAnimation	identity	yes	3	3	
background.thumbnailPath	REWRITE	background.thumbnailPath	identity	yes	5	3	
background.hideWhenFullscreen	REWRITE	background.hideWhenFullscreen	identity	yes	1	0	
background.parallax.vertical	SCHEMA_ONLY	background.parallax.vertical	identity	yes	0	0	
background.parallax.autoVertical	SCHEMA_ONLY	background.parallax.autoVertical	identity	yes	0	0	
background.parallax.enableWorkspace	SCHEMA_ONLY	background.parallax.enableWorkspace	identity	yes	0	0	
background.parallax.workspaceZoom	SCHEMA_ONLY	background.parallax.workspaceZoom	identity	yes	0	0	
background.parallax.enableSidebar	SCHEMA_ONLY	background.parallax.enableSidebar	identity	yes	0	0	
background.parallax.widgetsFactor	SCHEMA_ONLY	background.parallax.widgetsFactor	identity	yes	0	0	
bar.autoHide.enable	REWRITE	bar.autoHide.enable	identity	yes	8	7	
bar.autoHide.hoverRegionWidth	REWRITE	bar.autoHide.hoverRegionWidth	identity	yes	4	3	
bar.autoHide.pushWindows	REWRITE	bar.autoHide.pushWindows	identity	yes	4	3	
bar.autoHide.showWhenPressingSuper.enable	REWRITE	bar.autoHide.showWhenPressingSuper.enable	identity	yes	4	4	
bar.autoHide.showWhenPressingSuper.delay	REWRITE	bar.autoHide.showWhenPressingSuper.delay	identity	yes	3	3	
bar.bottom	REWRITE	bar.bottom	identity	yes	0	0	
bar.cornerStyle	REWRITE	bar.cornerStyle	identity	yes	0	0	
bar.floatStyleShadow	REWRITE	bar.floatStyleShadow	identity	yes	0	0	
bar.borderless	REWRITE	bar.borderless	identity	yes	3	3	
bar.topLeftIcon	REWRITE	bar.topLeftIcon	identity	yes	3	3	
bar.showBackground	REWRITE	bar.showBackground	identity	yes	5	3	
bar.verbose	REWRITE	bar.verbose	identity	yes	3	3	
bar.vertical	REWRITE	bar.vertical	identity	yes	0	0	
bar.resources.style	REWRITE	bar.resources.style	identity	yes	3	3	
bar.resources.showValue	REWRITE	bar.resources.showValue	identity	yes	4	3	
bar.resources.alwaysShowSwap	REWRITE	bar.resources.alwaysShowSwap	identity	yes	4	3	
bar.resources.alwaysShowCpu	REWRITE	bar.resources.alwaysShowCpu	identity	yes	8	6	
bar.resources.alwaysShowCpuTemp	REWRITE	bar.resources.alwaysShowCpuTemp	identity	yes	4	3	
bar.resources.alwaysShowDisk	REWRITE	bar.resources.alwaysShowDisk	identity	yes	4	3	
bar.resources.alwaysShowRam	REWRITE	bar.resources.alwaysShowRam	identity	yes	4	3	
bar.resources.memoryWarningThreshold	REWRITE	bar.resources.memoryWarningThreshold	identity	yes	4	3	
bar.resources.swapWarningThreshold	REWRITE	bar.resources.swapWarningThreshold	identity	yes	4	3	
bar.resources.cpuWarningThreshold	REWRITE	bar.resources.cpuWarningThreshold	identity	yes	5	3	
bar.layouts.leftLayout	REWRITE	bar.layouts.leftLayout	identity	yes	0	0	
bar.layouts.middleLayout	REWRITE	bar.layouts.middleLayout	identity	yes	0	0	
bar.layouts.rightLayout	REWRITE	bar.layouts.rightLayout	identity	yes	0	0	
bar.screenList	REWRITE	bar.screenList	identity	yes	2	0	
bar.utilButtons.showScreenSnip	REWRITE	bar.utilButtons.showScreenSnip	identity	yes	3	3	
bar.utilButtons.showColorPicker	REWRITE	bar.utilButtons.showColorPicker	identity	yes	3	3	
bar.utilButtons.showMicToggle	REWRITE	bar.utilButtons.showMicToggle	identity	yes	3	3	
bar.utilButtons.showKeyboardToggle	REWRITE	bar.utilButtons.showKeyboardToggle	identity	yes	3	3	
bar.utilButtons.showWallpaperToggle	REWRITE	bar.utilButtons.showWallpaperToggle	identity	yes	3	3	
bar.utilButtons.showDarkModeToggle	REWRITE	bar.utilButtons.showDarkModeToggle	identity	yes	3	3	
bar.utilButtons.showPerformanceProfileToggle	REWRITE	bar.utilButtons.showPerformanceProfileToggle	identity	yes	3	3	
bar.utilButtons.showScreenRecord	REWRITE	bar.utilButtons.showScreenRecord	identity	yes	3	3	
bar.utilButtons.isRecording	REWRITE	bar.utilButtons.isRecording	identity	yes	0	0	
bar.workspaces.monochromeIcons	REWRITE	bar.workspaces.monochromeIcons	identity	yes	3	3	
bar.workspaces.shown	REWRITE	bar.workspaces.shown	identity	yes	11	3	
bar.workspaces.showAppIcons	REWRITE	bar.workspaces.showAppIcons	identity	yes	7	3	
bar.workspaces.indicatorStyle	REWRITE	bar.workspaces.indicatorStyle	identity	yes	3	3	
bar.workspaces.alwaysShowNumbers	REWRITE	bar.workspaces.alwaysShowNumbers	identity	yes	8	6	
bar.workspaces.showNumberDelay	REWRITE	bar.workspaces.showNumberDelay	identity	yes	3	3	
bar.workspaces.numberMap	REWRITE	bar.workspaces.numberMap	identity	yes	4	3	
bar.workspaces.useNerdFont	REWRITE	bar.workspaces.useNerdFont	identity	yes	4	3	
bar.weather.enable	REWRITE	bar.weather.enable	identity	yes	14	11	
bar.weather.enableGPS	REWRITE	bar.weather.enableGPS	identity	yes	4	4	
bar.weather.city	REWRITE	bar.weather.city	identity	yes	3	3	
bar.weather.useUSCS	REWRITE	bar.weather.useUSCS	identity	yes	4	3	
bar.weather.fetchInterval	REWRITE	bar.weather.fetchInterval	identity	yes	5	3	
bar.indicators.notifications.showUnreadCount	REWRITE	bar.indicators.notifications.showUnreadCount	identity	yes	3	3	
bar.tooltips.clickToShow	REWRITE	bar.tooltips.clickToShow	identity	yes	3	3	
bar.media.preferredPlayer	REWRITE	bar.media.preferredPlayer	identity	yes	5	3	
bar.media.alwaysVisible	REWRITE	bar.media.alwaysVisible	identity	yes	3	3	
bar.media.onlyTitle	REWRITE	bar.media.onlyTitle	identity	yes	3	3	
battery.low	EXISTING	general.battery.warnLevels	warning-list-low	yes	2	0	
battery.critical	EXISTING	general.battery.warnLevels	warning-list-critical	yes	2	0	
battery.full	EXISTING	general.battery.fullLevel	rename	yes	0	0	
battery.automaticSuspend	EXISTING	general.battery.autoHibernate	rename	yes	8	6	
battery.suspend	EXISTING	general.battery.criticalLevel	rename	yes	6	4	
calendar.locale	EXISTING	services.calendarLocale	merge-existing-service	yes	0	0	
conflictKiller.autoKillNotificationDaemons	SCHEMA_ONLY	conflictKiller.autoKillNotificationDaemons	identity	yes	0	0	
conflictKiller.autoKillTrays	SCHEMA_ONLY	conflictKiller.autoKillTrays	identity	yes	0	0	
crosshair.code	SCHEMA_ONLY	crosshair.code	identity	yes	0	0	
dock.enable	SCHEMA_ONLY	dock.enabled	enable-to-enabled	yes	0	0	
dock.showBackground	SCHEMA_ONLY	dock.showBackground	identity	yes	0	0	
dock.showPinButton	SCHEMA_ONLY	dock.showPinButton	identity	yes	0	0	
dock.showAppsButton	SCHEMA_ONLY	dock.showAppsButton	identity	yes	0	0	
dock.showMedia	SCHEMA_ONLY	dock.showMedia	identity	yes	0	0	
dock.monochromeIcons	SCHEMA_ONLY	dock.monochromeIcons	identity	yes	0	0	
dock.height	SCHEMA_ONLY	dock.height	identity	yes	0	0	
dock.hoverRegionHeight	SCHEMA_ONLY	dock.hoverRegionHeight	identity	yes	0	0	
dock.pinnedOnStartup	SCHEMA_ONLY	dock.pinnedOnStartup	identity	yes	0	0	
dock.hoverToReveal	SCHEMA_ONLY	dock.hoverToReveal	identity	yes	0	0	
dock.pinnedApps	SCHEMA_ONLY	dock.pinnedApps	identity	yes	0	0	
dock.ignoredAppRegexes	SCHEMA_ONLY	dock.ignoredAppRegexes	identity	yes	0	0	
interactions.scrolling.fasterTouchpadScroll	REWRITE	interactions.scrolling.fasterTouchpadScroll	identity	yes	0	0	
interactions.scrolling.mouseScrollDeltaThreshold	REWRITE	interactions.scrolling.mouseScrollDeltaThreshold	identity	yes	0	0	
interactions.scrolling.mouseScrollFactor	REWRITE	interactions.scrolling.mouseScrollFactor	identity	yes	0	0	
interactions.scrolling.touchpadScrollFactor	REWRITE	interactions.scrolling.touchpadScrollFactor	identity	yes	0	0	
interactions.deadPixelWorkaround.enable	REWRITE	interactions.deadPixelWorkaround.enabled	enable-to-enabled	yes	0	0	
language.ui	REWRITE	language.ui	identity	yes	0	0	
language.translator.engine	SCHEMA_ONLY	language.translator.engine	identity	yes	0	0	
language.translator.targetLanguage	SCHEMA_ONLY	language.translator.targetLanguage	identity	yes	0	0	
language.translator.sourceLanguage	SCHEMA_ONLY	language.translator.sourceLanguage	identity	yes	0	0	
launcher.pinnedApps	EXISTING	launcher.favouriteApps	rename	yes	18	14	
light.night.automatic	SCHEMA_ONLY	light.night.automatic	identity	yes	0	0	
light.night.from	SCHEMA_ONLY	light.night.from	identity	yes	0	0	
light.night.to	SCHEMA_ONLY	light.night.to	identity	yes	0	0	
light.night.colorTemperature	SCHEMA_ONLY	light.night.colorTemperature	identity	yes	0	0	
light.antiFlashbang.enable	SCHEMA_ONLY	light.antiFlashbang.enabled	enable-to-enabled	yes	0	0	
lock.useHyprlock	REWRITE	lock.useHyprlock	identity	yes	2	0	
lock.launchOnStartup	REWRITE	lock.launchOnStartup	identity	yes	2	0	
lock.showWidgets	REWRITE	lock.showWidgets	identity	yes	0	0	
lock.showMedia	REWRITE	lock.showMedia	identity	yes	1	0	
lock.blur.enable	REWRITE	lock.blur.enable	identity	yes	1	0	
lock.blur.radius	REWRITE	lock.blur.radius	identity	yes	1	0	
lock.blur.extraZoom	REWRITE	lock.blur.extraZoom	identity	yes	1	0	
lock.blur.size	REWRITE	lock.blur.size	identity	yes	1	0	
lock.centerClock	REWRITE	lock.centerClock	identity	yes	2	0	
lock.showLockedText	REWRITE	lock.showLockedText	identity	yes	0	0	
lock.security.unlockKeyring	REWRITE	lock.security.unlockKeyring	identity	yes	0	0	
lock.security.requirePasswordToPower	REWRITE	lock.security.requirePasswordToPower	identity	yes	0	0	
lock.materialShapeChars	REWRITE	lock.materialShapeChars	identity	yes	1	0	
media.filterDuplicatePlayers	EXISTING	services.filterDuplicatePlayers	merge-existing-service	yes	2	0	
networking.userAgent	EXISTING	services.networkUserAgent	merge-existing-service	yes	0	0	
notifications.timeout	EXISTING	notifs.defaultExpireTimeout	merge-existing-service	yes	8	4	
osd.timeout	EXISTING	osd.hideDelay	rename	yes	4	3	
osk.layout	SCHEMA_ONLY	osk.layout	identity	yes	0	0	
osk.pinnedOnStartup	SCHEMA_ONLY	osk.pinnedOnStartup	identity	yes	0	0	
overlay.openingZoomAnimation	SCHEMA_ONLY	overlay.openingZoomAnimation	identity	yes	0	0	
overlay.darkenScreen	SCHEMA_ONLY	overlay.darkenScreen	identity	yes	0	0	
overlay.clickthroughOpacity	SCHEMA_ONLY	overlay.clickthroughOpacity	identity	yes	0	0	
overlay.floatingImage.imageSource	SCHEMA_ONLY	overlay.floatingImage.imageSource	identity	yes	0	0	
overlay.floatingImage.scale	SCHEMA_ONLY	overlay.floatingImage.scale	identity	yes	0	0	
overview.enable	REWRITE	overview.enabled	enable-to-enabled	yes	20	18	
overview.style	REWRITE	overview.style	identity	yes	8	4	
overview.scale	REWRITE	overview.scale	identity	yes	6	4	
overview.rows	REWRITE	overview.rows	identity	yes	10	4	
overview.columns	REWRITE	overview.columns	identity	yes	6	4	
overview.orderRightLeft	REWRITE	overview.orderRightLeft	identity	yes	6	4	
overview.orderBottomUp	REWRITE	overview.orderBottomUp	identity	yes	6	4	
overview.centerIcons	REWRITE	overview.centerIcons	identity	yes	10	4	
regionSelector.targetRegions.windows	REWRITE	regionSelector.targetRegions.windows	identity	yes	8	4	
regionSelector.targetRegions.layers	REWRITE	regionSelector.targetRegions.layers	identity	yes	4	4	
regionSelector.targetRegions.content	REWRITE	regionSelector.targetRegions.content	identity	yes	12	8	
regionSelector.targetRegions.showLabel	REWRITE	regionSelector.targetRegions.showLabel	identity	yes	6	4	
regionSelector.targetRegions.opacity	REWRITE	regionSelector.targetRegions.opacity	identity	yes	6	4	
